	car_id	colour	make	model	camera_id	bearing	duration
0	1HJQGE05168	Blue	Toyota	RAV4	15706	62.90667077187726	180
1	1QYOAT66751	Blue	Honda	CR-V	23881	220.44623202160176	270
2	1EMSOG36522	Purple	Mercedes-Benz	GLE	7219	108.2458545273787	330
3	1XUSHT99127	Blue	Honda	Fit	18039	85.57302835339652	270
4	1PGBPA36487	White	Chevrolet	Impala	7268	229.50567291146427	120
5	1THSOS40817	Silver	Hyundai	Tucson	2957	229.96179071024622	330
6	1VIZGP74818	Blue	Honda	Pilot	4261	55.79951586963955	270
7	1ATEMJ02992	White	Chevrolet	Impala	22286	240.2929876856881	300
8	1RJGVA72606	Silver	BMW	3 Series	19996	41.69559810392826	180
9	1MZLYV15915	Green	Volkswagen	Passat	18218	264.70655774745563	60
10	1JPOIK09606	Gray	Chevrolet	Tahoe	2767	311.27073042486	270
11	1OPGLA93734	White	Audi	A6	22191	62.4528316603251	330
12	1BDPFY64265	White	Chevrolet	Cruze	1145	136.48915626157435	210
13	1EZTWC23144	Purple	Chevrolet	Tahoe	8381	145.73266455709228	300
14	1GNTZE37533	Green	Toyota	RAV4	9227	93.06648550060811	60
15	1JWHAG26970	Silver	Volkswagen	Jetta	4691	185.12492334755456	120
16	1AFCIM71888	Green	Mercedes-Benz	GLC	22912	359.2788324700388	240
17	1RVJRF36232	Yellow	Toyota	RAV4	25066	126.73808243569448	120
18	1TESHI75052	Purple	BMW	7 Series	15706	242.90667077187726	270
19	1ZPVYC73963	White	Hyundai	Sonata	12051	207.70923624983556	330
20	1SCEZI29317	Purple	Hyundai	Tucson	2767	131.27073042486	330
21	1EIZHW48979	Gray	Audi	Q3	10595	107.62469128604909	270
22	1BWSYX95154	White	Volkswagen	Atlas	12051	207.70923624983556	150
23	1GBQKC98756	Yellow	Mercedes-Benz	GLA	2868	292.81803373698546	150
24	1AEWCT41311	Black	Mercedes-Benz	E-Class	15706	62.90667077187726	180
25	1YWDOD40695	Blue	Hyundai	Sonata	19996	41.69559810392826	270
26	1UARNK97545	Orange	Toyota	Highlander	4339	285.8191939495938	240
27	1WKPJD25999	Silver	Nissan	Pathfinder	21208	134.78857741949287	180
28	1UZTMG88065	White	Mercedes-Benz	GLC	11712	130.4239837538001	90
29	1UNGOA39744	Black	BMW	X5	23586	37.03324939005256	150
30	1VACVU28544	Silver	Audi	A3	19103	66.3706222684533	150
31	1CZWNY67833	Silver	Chevrolet	Malibu	11422	180.64014966985746	150
32	1WVXGO27222	Silver	Chevrolet	Equinox	23881	220.44623202160176	300
33	1OULYW19626	Purple	Toyota	Prius	8273	270.62959860907387	150
34	1QEKWV69891	Black	Chevrolet	Tahoe	21048	165.8219355871588	240
35	1WRSDR49426	Green	Audi	A6	10809	49.75446996419794	330
36	1YIQJX70930	Gray	Hyundai	Sonata	15909	63.718588977981426	120
37	1JOTNS68417	Purple	Ford	Fusion	15763	265.7993777950835	270
38	1TOJNM59486	Black	Mercedes-Benz	E-Class	21282	127.69631417176299	120
39	1GFNCM33395	Red	Hyundai	Palisade	16595	191.34539509332063	300
40	1DDHPJ92633	Silver	Toyota	Highlander	23586	37.03324939005256	90
41	1ZDTGP92816	Gray	Honda	Civic	21048	345.8219355871588	90
42	1OTHRU51832	Blue	Nissan	Murano	21282	307.696314171763	270
43	1MHJJK60732	Purple	Chevrolet	Cruze	24114	131.0594844955981	150
44	1JXLMU11210	Green	Toyota	Highlander	11387	1.556567471841504	150
45	1CEVPW26462	White	Volkswagen	Jetta	15909	243.71858897798143	300
46	1UPNJW61685	Green	Chevrolet	Equinox	22829	52.53944513974727	330
47	1YWPWI19059	Green	Honda	Fit	24884	297.3635469253162	90
48	1TCDCR02724	White	Ford	Fusion	22191	242.4528316603251	330
49	1LEYZA13964	Black	Audi	A3	2868	112.81803373698546	60
50	1GSYIS47280	Silver	Audi	Q3	21208	314.78857741949287	330
51	1YPWWS69999	Gray	Chevrolet	Tahoe	4339	285.8191939495938	240
52	1ZOFJJ68241	Blue	Volkswagen	Atlas	22286	240.2929876856881	270
53	1OFKPE62696	Orange	Audi	A3	4691	185.12492334755456	240
54	1XNSCJ28789	Yellow	Mercedes-Benz	GLA	21048	165.8219355871588	240
55	1LRWJP84047	Silver	Honda	Fit	7219	288.2458545273787	270
56	1GVPSI36219	White	BMW	3 Series	15909	243.71858897798143	90
57	1PABDQ08938	Purple	Toyota	Prius	26447	159.35473225316048	300
58	1ROTEN76855	Black	Audi	A3	6323	38.21778492551323	180
59	1PWVZW06682	Green	Honda	Pilot	7268	229.50567291146427	180
60	1BVTSQ53390	Silver	Volkswagen	Golf	10595	107.62469128604909	180
61	1WSRFV83790	Black	Honda	CR-V	23300	104.80641666739297	90
62	1AHIJQ76916	Blue	Audi	A4	21282	307.696314171763	120
63	1TOQAN11381	White	Honda	Fit	11712	130.4239837538001	210
64	1MIVJY72768	Purple	Nissan	Rogue	21844	136.39718102536006	330
65	1ZARJG05188	Purple	Ford	Mustang	7268	229.50567291146427	180
66	1EJUTA95075	Black	Nissan	Altima	4439	242.79835524676753	60
67	1YZIJT88907	Purple	Volkswagen	Golf	21048	165.8219355871588	180
68	1FSXOT28855	Gray	Honda	Fit	4261	55.79951586963955	150
69	1TAINU28779	Orange	BMW	X5	23665	312.72955032971356	180
70	1GJJVD72616	Yellow	Mercedes-Benz	E-Class	21282	127.69631417176299	300
71	1NWEZY42135	Yellow	BMW	3 Series	7561	50.65876341576404	120
72	1ACWJN67396	Silver	Mercedes-Benz	C-Class	1725	281.6485560699401	300
73	1XAGYA57628	Blue	Toyota	Camry	1145	136.48915626157435	330
74	1ZCZJT59740	Orange	Audi	A6	23665	312.72955032971356	300
75	1USNON57447	Blue	Chevrolet	Cruze	11422	180.64014966985746	150
76	1MIGTF23195	Purple	Ford	F-150	22191	242.4528316603251	120
77	1UWSPA70624	Red	Audi	Q5	6323	38.21778492551323	240
78	1KEBDX19185	Blue	Mercedes-Benz	C-Class	23586	37.03324939005256	210
79	1KTYKW44213	Red	Chevrolet	Tahoe	9683	310.15169523192185	180
80	1ULTDU73289	Green	BMW	3 Series	19996	41.69559810392826	60
81	1DRQKM06413	Silver	Audi	A3	16595	11.345395093320633	120
82	1MSSJP51242	Yellow	Audi	Q5	23007	351.2538377386214	270
83	1SDUKM45845	White	Ford	Fusion	2957	49.96179071024619	90
84	1YDZRM13930	Gray	Honda	Pilot	7268	49.50567291146427	60
85	1YNIXT57313	Silver	Ford	Escape	22829	52.53944513974727	210
86	1NPREK67036	Green	Ford	Explorer	15909	243.71858897798143	60
87	1AEJTH36867	Purple	Ford	Mustang	11387	181.5565674718415	180
88	1YCUFP66663	Purple	Hyundai	Sonata	22912	359.2788324700388	150
89	1QKKDR24556	Gray	Ford	Fusion	23586	217.03324939005256	120
90	1QIXDT83201	Silver	Nissan	Sentra	16998	267.1553443954342	300
91	1QDITX88214	Red	Toyota	Corolla	15909	63.718588977981426	150
92	1CFUIT81991	Green	Hyundai	Palisade	15153	8.45982210289418	210
93	1WMFNT75741	Yellow	Hyundai	Sonata	21282	127.69631417176299	120
94	1NMRNS27683	Green	Honda	Accord	22191	62.4528316603251	240
95	1WLVXJ03372	White	BMW	7 Series	2868	292.81803373698546	180
96	1DJSRO25650	Red	Chevrolet	Tahoe	11422	0.6401496698574647	180
97	1FKAIA97542	Purple	Chevrolet	Impala	22286	60.292987685688104	330
98	1ANMXT96562	White	Honda	Accord	7561	230.65876341576407	180
99	1OEUBF98663	White	Volkswagen	Tiguan	15763	265.7993777950835	60
