	camera_id	camera_location	bearing	street_name	LG_name	CWY
2	1145	POINT (116.076688 -31.990662)	316.48915626157435	Gladstone Rd	Kalamunda	Single
3	1725	POINT (116.119436 -32.040765)	101.64855606994013	Carinyah Rd	Kalamunda	Single
4	2767	POINT (116.053025 -31.963624)	131.27073042486	Williams St	Kalamunda	Single
5	2868	POINT (116.017587 -31.959958)	112.81803373698546	Quenington Ct	Kalamunda	Single
6	2957	POINT (116.00803 -31.983661)	229.96179071024622	Mahonia Wy	Kalamunda	Single
8	4261	POINT (115.919482 -31.938877)	235.79951586963958	Tidewater Wy	Belmont (C)	Right
9	4339	POINT (115.901704 -32.041916)	285.8191939495938	Wenden Pl	Canning (C)	Single
10	4439	POINT (115.895162 -32.00119)	62.79835524676753	Allen Ct	Victoria Park (T)	Single
11	4691	POINT (116.016216 -31.960039)	185.12492334755456	Brewer Rd	Kalamunda	Single
13	6021	POINT (115.931939 -32.032029)	198.93753049015987	Tiverton St	Canning (C)	Single
14	6323	POINT (115.898711 -32.012973)	38.21778492551323	Sill St	Canning (C)	Single
15	7219	POINT (115.940335 -31.980466)	288.2458545273787	Downsborough Av	Belmont (C)	Single
16	7268	POINT (115.899361 -31.996726)	49.50567291146427	Huntingdon St	Victoria Park (T)	Single
17	7561	POINT (115.956424 -31.993036)	230.65876341576407	Kurnall Rd	Canning (C)	Single
18	7784	POINT (115.913089 -31.970679)	229.6196275524999	Roberts Rd	Victoria Park (T)	Single
20	8273	POINT (115.900853 -31.969031)	270.62959860907387	Saleham St	Victoria Park (T)	Single
21	8381	POINT (115.900319 -31.958675)	325.7326645570923	Goodwood Pde	Victoria Park (T)	Single
23	9227	POINT (115.914389 -31.952077)	273.0664855006081	Tanunda Dr	Belmont (C)	Single
24	9683	POINT (115.8974 -31.991225)	130.15169523192185	Devenish St	Victoria Park (T)	Single
26	10595	POINT (115.902553 -31.962573)	287.6246912860491	Streatley Rd	Victoria Park (T)	Single
27	10809	POINT (115.918856 -32.050362)	229.75446996419794	Vellgrove Av	Canning (C)	Single
28	11387	POINT (115.8626 -32.045131)	1.556567471841504	Creekview Cl	Canning (C)	Single
29	11422	POINT (115.884656 -32.02801)	180.64014966985746	Throsby St	Canning (C)	Single
30	11712	POINT (115.951915 -32.017761)	310.4239837538001	Henry St	Canning (C)	Single
31	11914	POINT (115.885543 -32.043585)	181.1386481784207	Aster Av	Canning (C)	Single
32	12051	POINT (115.888256 -32.049319)	27.709236249835556	Pendock Pl	Canning (C)	Single
34	13906	POINT (116.014051 -31.938001)	99.46232220802563	Ellis Ct	Kalamunda	Single
36	15113	POINT (116.040272 -31.953263)	176.79051368270427	Robertson Rd	Kalamunda	Single
37	15153	POINT (116.101091 -32.020511)	8.45982210289418	Union Rd	Kalamunda	Single
38	15706	POINT (116.067457 -31.993688)	62.90667077187726	Margaret Tce	Kalamunda	Single
39	15763	POINT (116.042733 -31.956441)	85.7993777950835	Dale Dr	Kalamunda	Single
40	15909	POINT (115.903362 -32.049993)	63.718588977981426	Noonan Ct	Canning (C)	Single
41	16122	POINT (115.895533 -31.955537)	175.6012946405143	The Promenade	Victoria Park (T)	Single
42	16595	POINT (116.040345 -32.011378)	191.34539509332063	Bowtell Rd	Kalamunda	Single
44	16998	POINT (116.064485 -31.993295)	87.15534439543421	Fletcher Rd	Kalamunda	Single
46	18039	POINT (115.9104 -32.028726)	85.57302835339652	Waterside Rtt	Canning (C)	Single
49	18218	POINT (115.904889 -31.95507)	84.70655774745563	Riversdale Rd	Belmont (C)	Single
50	18432	POINT (115.921169 -32.049837)	174.348068603613	Villiers Wy	Canning (C)	Single
53	19103	POINT (115.867369 -32.045206)	66.3706222684533	Bull Creek Rd	Canning (C)	Single
54	19996	POINT (116.045489 -31.939465)	41.69559810392826	Zig Zag Scenic Dr	Kalamunda	Single
55	20103	POINT (115.929908 -31.935367)	55.20144533459256	Matheson Rd	Belmont (C)	Single
57	20718	POINT (116.077794 -31.978944)	85.40945681591336	Mundaring Weir Rd	Kalamunda	Single
58	21039	POINT (115.912941 -31.992531)	154.17900802569625	Albany Hwy	Victoria Park (T)	Left
59	21048	POINT (115.912999 -31.993983)	165.8219355871588	Albany Hwy	Canning (C)	Single
60	21208	POINT (115.937487 -32.021339)	134.78857741949287	Albany Hwy	Canning (C)	Right
61	21282	POINT (115.922651 -31.995003)	127.69631417176299	Sevenoaks St	Canning (C)	Single
62	21844	POINT (115.890169 -31.967573)	316.39718102536006	Causeway to Canning Hwy (Westbound)	Victoria Park (T)	Single
