	car_id	colour	make	model	camera_id	bearing	duration
0	1GSDGV17884	Black	Volkswagen	Tiguan	1771	90.80102062475419	300
1	1MWJNI56247	Orange	Chevrolet	Cruze	24983	149.067811388371	210
2	1PRZJM08019	Red	Mercedes-Benz	GLC	4465	270.22843430056366	270
3	1PQWYT87841	Red	BMW	7 Series	18036	259.6375409023271	60
4	1DRPPU99114	Silver	BMW	7 Series	8499	218.90413845305181	120
5	1JFLAZ34238	Gray	Hyundai	Tucson	16390	118.9959595136437	300
6	1URVVV32120	Red	Honda	Civic	1567	216.0087527240397	180
7	1BBDMR25186	Yellow	Nissan	Sentra	20697	59.56576424542163	270
8	1ALXOY47735	Orange	Ford	Fusion	9558	167.9492151110112	270
9	1KVERI78488	Green	BMW	3 Series	19429	180.61998105398362	240
10	1ZTCWT35509	Orange	Nissan	Rogue	4405	225.88140399744915	300
11	1NGZKA21297	Red	Toyota	RAV4	13850	0.10105065392542656	330
12	1NYGMD30771	Black	Hyundai	Santa Fe	24699	287.10272897675446	270
13	1TCBFM56965	Green	Honda	Accord	21394	331.7184968474066	210
14	1LHBIL50619	White	BMW	7 Series	7675	311.24393989399886	180
15	1IBTGW84653	Black	Ford	F-150	8499	38.904138453051814	120
16	1ZWRTR73066	Green	Mercedes-Benz	GLC	24243	114.99998209143837	270
17	1NSMSL95590	Gray	Honda	Pilot	1771	90.80102062475419	90
18	1WYKVQ44342	Purple	BMW	X3	8085	57.39271347821119	180
19	1NYFNG48494	Black	Hyundai	Tucson	25081	282.10974812318364	210
20	1YEUSA65420	Green	Hyundai	Tucson	20286	177.46512327050493	300
21	1NRBUS82084	Red	Toyota	Camry	9239	49.67813548217367	210
22	1KRSNZ24945	Yellow	Honda	Fit	18938	90.25954875464038	120
23	1VEGZZ75884	Green	Mercedes-Benz	GLE	6515	0.0	270
24	1NPMMN87296	Purple	Chevrolet	Cruze	1771	270.8010206247542	150
25	1XLBAP90449	Gray	Honda	Civic	1649	85.36453657276502	150
26	1WKIVU27761	Blue	BMW	X5	23295	113.43798652820897	240
27	1FZKAL98475	Black	BMW	X5	9239	49.67813548217367	180
28	1EUBQZ86613	Silver	Nissan	Rogue	21394	151.71849684740658	330
29	1LBWRC04737	Black	Ford	Escape	2148	264.3938340490115	300
30	1UJEBQ74846	Red	Mercedes-Benz	E-Class	7846	100.16208319603686	90
31	1CTGIQ01221	Yellow	Audi	A6	16006	152.24145940188373	270
32	1UPTGR20262	Gray	Toyota	Highlander	2148	84.3938340490115	240
33	1ITOKS34676	Black	Toyota	RAV4	1567	216.0087527240397	180
34	1PDVVI99906	Blue	Ford	F-150	1598	300.43972438070745	180
35	1XMDDT21933	Purple	BMW	X5	10526	251.87496447401384	150
36	1QQKDI41307	Black	BMW	X3	19429	180.61998105398362	60
37	1CZGDR14862	White	Volkswagen	Atlas	23747	217.8114628573955	210
38	1RJAJF39465	Purple	Hyundai	Elantra	24243	294.99998209143837	210
39	1RKVVN44685	Yellow	Honda	Civic	766	29.953608167274695	240
40	1ENMAP00845	Purple	Audi	Q3	6515	0.0	330
41	1GQWCB15701	Black	Nissan	Murano	23747	37.8114628573955	60
42	1UMPBE20515	Purple	BMW	5 Series	3332	85.4860115431195	270
43	1YHUVH02165	Yellow	Nissan	Sentra	3332	265.4860115431195	120
44	1UWCJK19968	Purple	Mercedes-Benz	GLC	3332	85.4860115431195	150
45	1SANGD22215	Gray	Honda	Accord	15280	181.3859178510636	150
46	1GWNJR31162	Silver	Toyota	Camry	1733	318.7240579729754	90
47	1VYHPP03896	White	Audi	A4	10773	269.7084209417096	120
48	1KOXMA48097	Purple	Mercedes-Benz	GLC	302	359.8530880668738	210
49	1LXRNX32461	Green	Ford	F-150	24243	294.99998209143837	90
