	camera_id	camera_location	bearing	street_name	LG_name	CWY
0	302	POINT (115.806422 -31.986454)	359.8530880668738	Webster St	Nedlands (C)	Single
3	664	POINT (115.769823 -32.009876)	224.06080904988923	Manning St	Mosman Park (T)	Single
4	766	POINT (115.8686 -31.870628)	29.953608167274695	Muchea Gdns	Stirling (C)	Single
7	1567	POINT (115.841073 -31.863181)	36.00875272403971	Walderton Av	Stirling (C)	Single
8	1598	POINT (115.874853 -31.921628)	300.43972438070745	Fourth Av	Stirling (C)	Single
9	1649	POINT (115.766713 -31.984003)	85.36453657276502	Claremont Cr	Claremont (T)	Single
10	1733	POINT (115.783352 -31.97701)	318.7240579729754	Graylands Rd	Claremont (T)	Single
11	1771	POINT (115.779907 -31.985183)	90.80102062475419	Park L	Claremont (T)	Single
12	2029	POINT (115.802238 -31.99281)	359.73365566429914	Colin St	Nedlands (C)	Single
13	2148	POINT (115.757709 -31.858424)	84.3938340490115	James St	Stirling (C)	Single
16	3070	POINT (115.788116 -31.939399)	36.15406906752696	Ulster Rd Slip Rd B	Cambridge (T)	Single
17	3332	POINT (115.762994 -31.915757)	265.4860115431195	Kinkuna Wy	Cambridge (T)	Single
18	3514	POINT (115.761685 -31.911741)	229.76364168949783	Perina Wy	Cambridge (T)	Single
19	4405	POINT (115.795916 -31.902244)	225.88140399744915	Ewen St	Stirling (C)	Single
20	4465	POINT (115.836937 -31.910396)	90.22843430056366	Powell St	Stirling (C)	Single
21	4738	POINT (115.785222 -31.882948)	110.1924005804284	Worner Cr	Stirling (C)	Single
23	5116	POINT (115.867592 -31.870741)	198.66691427939168	Aitape Vsta	Stirling (C)	Single
24	5240	POINT (115.889008 -31.921123)	132.59017675966845	Waterford St	Stirling (C)	Single
25	5380	POINT (115.771178 -31.864962)	72.33872114583511	Williton Rd	Stirling (C)	Single
26	5429	POINT (115.763994 -32.016901)	299.0016994247711	Harley Tce	Mosman Park (T)	Single
29	6515	POINT (115.794027 -31.986446)	0.0	Bulimba Rd	Nedlands (C)	Single
30	6637	POINT (115.796009 -31.977703)	52.792078079104044	Robinson St North	Nedlands (C)	Single
31	7100	POINT (115.852028 -31.896675)	0.2955441898735671	Hayes Av	Stirling (C)	Single
32	7675	POINT (115.886248 -31.91932)	311.24393989399886	Dundas Rd	Stirling (C)	Single
33	7846	POINT (115.853902 -31.855832)	100.16208319603686	Hornsey Wy	Stirling (C)	Single
34	8085	POINT (115.853028 -31.911288)	57.39271347821119	Meenaar Cr	Stirling (C)	Single
35	8499	POINT (115.770546 -31.883393)	38.904138453051814	Gamble Wy	Stirling (C)	Single
36	9239	POINT (115.879896 -31.932062)	49.67813548217367	Clotilde St	Stirling (C)	Single
37	9558	POINT (115.815665 -31.846051)	167.9492151110112	Katrine Wy	Stirling (C)	Single
38	9904	POINT (115.754126 -31.854712)	0.971021933222687	Flora Tce	Stirling (C)	Single
39	10526	POINT (115.799316 -31.851148)	71.87496447401384	Owen Pl	Stirling (C)	Single
40	10773	POINT (115.843165 -31.873785)	89.70842094170962	Quadea Rd	Stirling (C)	Single
42	11451	POINT (115.812262 -31.856442)	39.332714317344426	Eastwood Wy	Stirling (C)	Single
46	13850	POINT (115.760473 -32.011193)	180.1010506539254	Elphick L	Mosman Park (T)	Single
47	13953	POINT (115.887781 -31.92079)	131.08389026749364	Eleventh Av	Stirling (C)	Single
48	14398	POINT (115.876538 -31.858229)	62.85622325713149	Serrata Wy	Stirling (C)	Single
49	15280	POINT (115.830168 -31.948808)	1.3859178510635957	Olive St	Subiaco (C)	Single
51	16006	POINT (115.768332 -32.018172)	332.2414594018837	Beagle Cl	Mosman Park (T)	Single
52	16278	POINT (115.878581 -31.88328)	50.63577093468223	Seabrook St	Stirling (C)	Single
53	16390	POINT (115.843535 -31.866332)	118.9959595136437	Pycombe Wy	Stirling (C)	Single
54	16619	POINT (115.871248 -31.893466)	112.29002241876032	Waverley St	Stirling (C)	Single
55	17292	POINT (115.794175 -31.869097)	280.57352341933023	Hanlin Ct	Stirling (C)	Single
56	17398	POINT (115.778223 -32.020075)	14.563692593355654	Downey Dr	Mosman Park (T)	Single
57	18036	POINT (115.78022 -31.958408)	79.63754090232709	Prince Albert Ct	Nedlands (C)	Single
58	18938	POINT (115.82564 -31.890405)	90.25954875464038	North Beach Dr	Stirling (C)	Single
60	19429	POINT (115.810391 -31.962841)	180.61998105398362	Herbert Rd	Subiaco (C)	Single
62	20233	POINT (115.825669 -31.947056)	270.38336020046586	Hay St	Subiaco (C)	Single
63	20286	POINT (115.801982 -31.956248)	177.46512327050493	Guttmann App	Nedlands (C)	Single
65	20521	POINT (115.831786 -31.873721)	270.20609903741445	Amelia St	Stirling (C)	Single
66	20697	POINT (115.800898 -31.965464)	59.56576424542163	Railway Rd	Nedlands (C)	Single
67	21247	POINT (115.871741 -31.892212)	2.7952234105609364	Alexander Dr	Stirling (C)	Right
68	21394	POINT (115.845404 -31.910208)	331.7184968474066	Wanneroo Rd	Stirling (C)	Left
69	21871	POINT (115.836563 -31.914177)	90.0	Green St	Stirling (C)	Single
70	22291	POINT (115.843336 -31.880829)	90.31948988305749	Nollamara Av	Stirling (C)	Single
72	23295	POINT (115.785748 -31.881901)	113.43798652820897	Karrinyup Morley Hwy	Stirling (C)	Left
73	23747	POINT (115.796261 -31.912055)	37.8114628573955	Pearson St	Stirling (C)	Right
74	23938	POINT (115.824907 -31.855498)	338.89305080137325	Wanneroo Rd	Stirling (C)	Right
75	24243	POINT (115.804386 -31.90911)	114.99998209143837	Jon Sanders Dr	Stirling (C)	Left
76	24699	POINT (115.801347 -31.885073)	107.10272897675446	Mitchell Fwy (Southbound) off to Cedric St	Stirling (C)	Single
77	24983	POINT (115.820521 -31.901975)	329.067811388371	Mitchell Fwy	Stirling (C)	Left
78	25081	POINT (115.814327 -31.897171)	282.10974812318364	Mitchell Fwy	Stirling (C)	Right
