	camera_id	camera_location	bearing	street_name	LG_name	CWY
0	309	POINT (115.832188 -32.059892)	327.42594286531596	Hendy Grn	Melville (C)	Single
1	853	POINT (115.758206 -32.328646)	79.49493613011714	Bristol St	Rockingham (C)	Single
2	1250	POINT (115.752204 -32.322231)	256.7236029600696	Masthead St	Rockingham (C)	Single
3	2316	POINT (115.811629 -32.079348)	252.9466852331057	Waverley Rd	Cockburn (C)	Single
4	2342	POINT (115.830414 -32.106731)	80.97427258456713	Blackthorne Cr	Cockburn (C)	Single
5	2409	POINT (115.78028 -32.088738)	178.47871278569812	Paulik Wy	Cockburn (C)	Single
6	2417	POINT (115.774788 -32.121967)	257.9747203898602	Oporto Rise	Cockburn (C)	Single
8	3202	POINT (115.811749 -32.063581)	92.01276132478102	Saw Rd	Melville (C)	Single
12	3996	POINT (115.974005 -31.779653)	243.43494882292202	Balladonia Dr	Swan (C)	Single
13	5150	POINT (115.970094 -31.79227)	152.61257784324528	Pinea Turn	Swan (C)	Single
15	5586	POINT (116.039546 -31.875789)	151.58733855893053	Scarp View	Swan (C)	Single
17	5855	POINT (115.987269 -31.774413)	105.67477007473451	Tempo Wy	Swan (C)	Single
19	5901	POINT (115.979452 -31.766464)	263.3455749528777	Tranquility Cr	Swan (C)	Single
20	6180	POINT (115.889722 -31.833397)	99.20259697181325	Osprey Cir	Swan (C)	Single
24	7281	POINT (116.077668 -31.653478)	8.3374444387332	Jess Rd	Swan (C)	Single
25	7439	POINT (115.914492 -31.845541)	198.00873940780363	Gilroyd Loop	Swan (C)	Single
27	7696	POINT (115.884416 -31.823571)	145.46533843070887	Jacaranda Dr	Swan (C)	Single
28	8626	POINT (115.971441 -31.794319)	222.39743779744023	Regelia Turn	Swan (C)	Single
29	9406	POINT (116.21918 -31.805092)	88.97238321389591	Brompton Hts	Swan (C)	Single
31	9471	POINT (116.037664 -31.654284)	34.66344585263414	Ashton Rd	Swan (C)	Single
33	9866	POINT (115.846501 -32.125015)	330.27814755237364	Pusey Rd	Cockburn (C)	Single
34	9999	POINT (115.813605 -32.125404)	209.6784899224704	Manberry Wy	Cockburn (C)	Single
35	10089	POINT (115.984952 -31.771068)	90.0	Bellazario Prom	Swan (C)	Single
36	10467	POINT (115.984496 -31.792219)	5.142764561135152	Tondoon Bend	Swan (C)	Single
38	11027	POINT (115.97931 -31.793041)	359.55063055082877	Demesne Cct	Swan (C)	Single
39	11272	POINT (115.981734 -31.755984)	0.46205272025258637	Geographe Loop	Swan (C)	Single
40	12048	POINT (115.971816 -31.857606)	87.73524545166629	St Leonards Bvd	Swan (C)	Single
41	12197	POINT (115.953305 -31.882259)	290.4223330241165	Thorson Wy	Swan (C)	Single
42	12386	POINT (115.967533 -31.766981)	46.21887522997332	Heirisson Turn	Swan (C)	Single
43	13362	POINT (115.947834 -31.877942)	82.73304559421086	Weddall Rd	Swan (C)	Single
44	13492	POINT (115.961387 -31.78787)	86.95522155497906	Valinco Av	Swan (C)	Single
45	13579	POINT (115.981124 -31.762527)	60.461217748659465	Redstone Trl	Swan (C)	Single
46	13791	POINT (115.968996 -31.846426)	74.64986350713895	Repton St	Swan (C)	Single
47	14113	POINT (115.955542 -31.884058)	270.1558358247165	Rosher Rd	Swan (C)	Single
48	14120	POINT (115.951347 -31.883557)	280.2584406099847	Rosher Rd	Swan (C)	Single
49	14254	POINT (115.971569 -31.76545)	252.05059700927882	Addingham Dr	Swan (C)	Single
52	14730	POINT (115.949082 -31.864405)	251.21557261348303	Thorburn Av	Swan (C)	Single
54	16856	POINT (116.007442 -31.890534)	5.71059314329392	Cale St	Swan (C)	Single
55	16883	POINT (115.982858 -31.79537)	0.730773885644453	Neary Bvd	Swan (C)	Single
57	17949	POINT (115.943326 -31.86392)	36.97659357325006	Mekong Pl	Swan (C)	Single
58	18138	POINT (115.9122 -31.852204)	0.47745377610812056	Glacier Gdns	Swan (C)	Single
59	18706	POINT (115.972247 -31.780924)	90.30620968304112	Flora Valley Gr	Swan (C)	Single
60	18922	POINT (116.255834 -31.789993)	74.74488129763813	Breeze Rd	Swan (C)	Single
61	18937	POINT (116.020097 -31.82803)	348.5360469823713	Beor Wy	Swan (C)	Single
62	19102	POINT (115.966711 -31.823523)	172.71597634560578	Mayfield Dr	Swan (C)	Single
63	20014	POINT (115.986677 -31.907049)	109.4731442027421	Beenan Elb	Swan (C)	Single
64	20243	POINT (115.934503 -31.886231)	298.3007557627383	Rockbank Pl	Swan (C)	Single
65	20510	POINT (116.021183 -31.742049)	267.1921028383971	Ellenbrook Rd	Swan (C)	Single
66	21100	POINT (115.996487 -31.789716)	206.25024237497365	Semerwater Cr	Swan (C)	Single
67	21350	POINT (115.969231 -31.791003)	279.54452556476747	Woodlake Bvd	Swan (C)	Right
68	21728	POINT (116.01517 -31.755642)	254.60878706488006	Roxburghe Dr	Swan (C)	Single
70	22729	POINT (116.115377 -31.800193)	283.95142372297204	Gogulger Stock Route Rd	Swan (C)	Single
71	22985	POINT (115.871402 -32.123631)	164.09802094869838	Cutler Rd	Cockburn (C)	Single
72	23141	POINT (115.969767 -31.901424)	359.279748141827	Johnson Av	Swan (C)	Single
73	23199	POINT (116.010913 -31.76901)	64.88916509793444	Hermitage Dr	Swan (C)	Single
74	23227	POINT (116.010541 -31.762147)	32.799531272456875	Hermitage Dr	Swan (C)	Single
76	23392	POINT (116.05661 -31.869254)	24.55291651098571	Dongara Cir	Swan (C)	Single
78	24070	POINT (116.048053 -31.976032)	180.53190840096443	Peet Rd	Kalamunda	Single
79	24099	POINT (116.058907 -31.988119)	257.45269785038283	Nangkita Rd	Kalamunda	Single
85	26071	POINT (116.048837 -31.942123)	287.76485329827875	Lascelles Pde	Kalamunda	Single
86	27655	POINT (116.022744 -32.152362)	77.68055474582764	Amethyst Cr	Armadale (C)	Single
87	27993	POINT (115.911013 -32.141903)	220.04455105848965	Pegus Wy	Armadale (C)	Single
88	28083	POINT (115.92526 -32.136283)	18.924644435678204	Limestone Rise	Armadale (C)	Single
