	car_id	colour	make	model	camera_id	bearing	duration
0	1UHRRD63986	Blue	Ford	Mustang	44538	162.51461803426912	330
1	1MLZZD10039	Purple	Audi	Q3	29277	201.24359282320742	150
2	1OXCWF35016	Purple	Chevrolet	Equinox	24494	8.262765357455635	240
3	1LXXMA41814	Red	Chevrolet	Impala	48059	75.87681308051856	90
4	1WZZRR15914	Green	BMW	3 Series	11061	84.71599985818006	180
5	1ZYCAS58563	Green	Volkswagen	Passat	17268	170.88864295556925	60
6	1MJFRX40050	Silver	Hyundai	Sonata	28033	91.28588461323284	60
7	1VLYYU63722	Green	Honda	Civic	5395	313.8308606718579	270
8	1FHJAY92835	Blue	Volkswagen	Jetta	42649	113.4046895490464	270
9	1GDUVL38718	Purple	Volkswagen	Jetta	46282	269.06844340263547	330
10	1DXHWK89281	Green	BMW	X3	5611	166.3495808656353	180
11	1FCHUI61690	Black	BMW	7 Series	42649	113.4046895490464	150
12	1YSVNO12205	Silver	Hyundai	Tucson	16670	209.54544378537935	270
13	1VFGMD13314	Gray	Audi	A3	8835	188.20235424428893	270
14	1WLDHL78877	Green	Audi	Q3	22383	174.73177958896645	180
15	1QPQVA60437	Blue	Nissan	Rogue	41568	173.1300076893392	90
16	1FNCYW05454	Red	Ford	Escape	5471	262.47617956043547	150
17	1EANHL71492	Black	Mercedes-Benz	C-Class	2271	98.69130753573154	330
18	1ZXQAZ46479	Black	Volkswagen	Tiguan	30406	308.7459672577065	300
19	1HCTRL95339	Silver	Audi	A3	53616	248.69421638198276	90
20	1HPVFT80254	Black	Chevrolet	Equinox	48090	301.7769323474407	90
21	1JEYHZ43352	Gray	Chevrolet	Equinox	30480	49.92266489987185	60
22	1YYNSJ71134	Yellow	Nissan	Sentra	27684	300.22837850790313	150
23	1YYWUD62759	Silver	Honda	Accord	22118	310.611332447928	240
24	1WYJMI98573	Purple	Mercedes-Benz	E-Class	9962	90.68861803738326	90
25	1FEPLV59485	Purple	Toyota	RAV4	41568	173.1300076893392	240
26	1PJNIN42977	Purple	Nissan	Sentra	34898	84.28940686192453	150
27	1OPFZO91327	Yellow	BMW	X3	49218	47.91083782439466	90
28	1RGKDY69211	Gray	Volkswagen	Jetta	54393	337.13184788134214	120
29	1IQOOZ89750	White	Audi	A6	18841	177.20981413871482	150
30	1RKFQW92776	Blue	BMW	7 Series	3569	309.2894068625238	120
31	1AHJPB33658	Orange	Hyundai	Santa Fe	56409	141.40435272622193	240
32	1RRZJE98831	Gray	Audi	A3	36790	107.94594977609876	300
33	1UWMYR54650	Silver	Hyundai	Sonata	54393	337.13184788134214	180
34	1BNWGZ12476	White	Volkswagen	Jetta	27370	353.08877288005425	270
35	1FNWPS83889	Yellow	BMW	3 Series	8898	293.3937286463313	210
36	1DJXHW92261	Yellow	Ford	Mustang	50254	3.406443756029603	300
37	1KMHAC42534	Blue	Honda	Fit	8311	340.8063971133153	300
38	1EWVOC38146	Yellow	Toyota	Highlander	49218	227.91083782439466	150
39	1WURET08408	Gray	Volkswagen	Jetta	9962	270.68861803738326	270
